obs,x
"1980-01-02",824.57
"1980-01-03",820.31
"1980-01-04",828.84
"1980-01-07",832
"1980-01-08",851.71
"1980-01-09",850.09
"1980-01-10",858.96
"1980-01-11",858.53
"1980-01-14",863.57
"1980-01-15",868.6
"1980-01-16",865.19
"1980-01-17",863.57
"1980-01-18",867.15
"1980-01-21",872.78
"1980-01-22",866.21
"1980-01-23",877.56
"1980-01-24",879.95
"1980-01-25",876.11
"1980-01-28",878.5
"1980-01-29",874.4
"1980-01-30",881.91
"1980-01-31",875.85
"1980-02-01",881.48
"1980-02-04",875.09
"1980-02-05",876.62
"1980-02-06",881.83
"1980-02-07",885.49
"1980-02-08",895.73
"1980-02-11",889.59
"1980-02-12",898.98
"1980-02-13",903.84
"1980-02-14",893.77
"1980-02-15",884.98
"1980-02-19",876.02
"1980-02-20",886.86
"1980-02-21",868.52
"1980-02-22",868.77
"1980-02-25",859.81
"1980-02-26",864.25
"1980-02-27",855.12
"1980-02-28",854.44
"1980-02-29",863.14
"1980-03-03",854.35
"1980-03-04",856.48
"1980-03-05",844.88
"1980-03-06",828.07
"1980-03-07",820.56
"1980-03-10",818.94
"1980-03-11",826.45
"1980-03-12",819.54
"1980-03-13",809.56
"1980-03-14",811.69
"1980-03-17",788.65
"1980-03-18",801.62
"1980-03-19",800.94
"1980-03-20",789.08
"1980-03-21",785.15
"1980-03-24",765.44
"1980-03-25",767.83
"1980-03-26",762.12
"1980-03-27",759.98
"1980-03-28",777.65
"1980-03-31",785.75
"1980-04-01",784.47
"1980-04-02",787.8
"1980-04-03",784.13
"1980-04-07",768.34
"1980-04-08",775
"1980-04-09",785.92
"1980-04-10",791.47
"1980-04-11",791.55
"1980-04-14",784.9
"1980-04-15",783.36
"1980-04-16",771.25
"1980-04-17",768.86
"1980-04-18",763.4
"1980-04-21",759.13
"1980-04-22",789.85
"1980-04-23",789.25
"1980-04-24",797.1
"1980-04-25",803.58
"1980-04-28",805.46
"1980-04-29",811.09
"1980-04-30",817.06
"1980-05-01",808.79
"1980-05-02",810.92
"1980-05-05",816.3
"1980-05-06",816.04
"1980-05-07",821.25
"1980-05-08",815.19
"1980-05-09",805.8
"1980-05-12",805.2
"1980-05-13",816.89
"1980-05-14",819.62
