obs,x
2015-01-01,161424
2015-01-02,105312
2015-01-03,8730
2015-01-04,197290
2015-01-05,127075
2015-01-06,115449
2015-01-07,160375
2015-01-08,152404
2015-01-09,144657
2015-01-10,31149
2015-01-11,246964
2015-01-12,159183
2015-01-13,300733
2015-01-14,143008
2015-01-15,135506
2015-01-16,122200
2015-01-17,26263
2015-01-18,209840
2015-01-19,140007
2015-01-20,128577
2015-01-21,115790
2015-01-22,112855
2015-01-23,101650
2015-01-24,24053
2015-01-25,178114
2015-01-26,130186
2015-01-27,122171
2015-01-28,162017
2015-01-29,171793
2015-01-30,149324
2015-01-31,33002
2015-02-01,235538
2015-02-02,162227
2015-02-03,150952
2015-02-04,140797
2015-02-05,132514
2015-02-06,110853
2015-02-07,25512
2015-02-08,183592
2015-02-09,148904
2015-02-10,126479
2015-02-11,118617
2015-02-12,108786
2015-02-13,104551
2015-02-14,23936
2015-02-15,155212
2015-02-16,116456
2015-02-17,114876
2015-02-18,155133
2015-02-19,187114
2015-02-20,161924
2015-02-21,37475
2015-02-22,284740
2015-02-23,185178
2015-02-24,166594
2015-02-25,169174
2015-02-26,144941
2015-02-27,136521
2015-02-28,27214
2015-03-01,251655
2015-03-02,168244
2015-03-03,146305
2015-03-04,203743
2015-03-05,231338
2015-03-06,193945
2015-03-07,44438
2015-03-08,204667
2015-03-09,294839
2015-03-10,402192
2015-03-11,202054
2015-03-12,174338
2015-03-13,155109
2015-03-14,23553
2015-03-15,332812
2015-03-16,224823
2015-03-17,164759
2015-03-18,181369
2015-03-19,178135
2015-03-20,164603
2015-03-21,34800
2015-03-22,380868
2015-03-23,229877
2015-03-24,198299
2015-03-25,190947
2015-03-26,184389
2015-03-27,159223
2015-03-28,40118
2015-03-29,290401
2015-03-30,241142
2015-03-31,221576
2015-04-01,427897
2015-04-02,67051
2015-04-03,282102
2015-04-04,6999
2015-04-05,0
2015-04-06,327356
2015-04-07,184414
2015-04-08,183464
2015-04-09,168640
2015-04-10,158195
2015-04-11,18235
2015-04-12,241811
2015-04-13,185312
2015-04-14,171666
2015-04-15,183103
2015-04-16,165560
2015-04-17,147836
2015-04-18,29343
2015-04-19,210680
2015-04-20,146979
2015-04-21,187317
2015-04-22,240160
2015-04-23,258381
2015-04-24,190230
2015-04-25,14803
2015-04-26,354098
2015-04-27,227216
2015-04-28,198425
2015-04-29,374031
2015-04-30,19639
2015-05-01,250191
2015-05-02,10840
2015-05-03,294129
2015-05-04,210649
2015-05-05,202545
2015-05-06,243835
2015-05-07,241071
2015-05-08,190058
2015-05-09,31987
2015-05-10,296565
2015-05-11,212886
2015-05-12,209153
2015-05-13,47989
2015-05-14,247538
2015-05-15,163891
2015-05-16,9920
2015-05-17,333895
2015-05-18,254734
2015-05-19,202378
2015-05-20,181448
2015-05-21,163099
2015-05-22,139504
2015-05-23,27010
2015-05-24,0
2015-05-25,407394
2015-05-26,232982
2015-05-27,210789
2015-05-28,207061
2015-05-29,174940
2015-05-30,31537
2015-05-31,298088
2015-06-01,217788
2015-06-02,172010
2015-06-03,188790
2015-06-04,172937
2015-06-05,173322
2015-06-06,25194
2015-06-07,453685
2015-06-08,394383
2015-06-09,221384
2015-06-10,204607
2015-06-11,188300
2015-06-12,154524
2015-06-13,15197
2015-06-14,249806
2015-06-15,189624
2015-06-16,170781
2015-06-17,182682
2015-06-18,161040
2015-06-19,168094
2015-06-20,39416
2015-06-21,291819
2015-06-22,215006
2015-06-23,195711
2015-06-24,173448
2015-06-25,175355
2015-06-26,143989
2015-06-27,29498
2015-06-28,226833
2015-06-29,183968
2015-06-30,249680
2015-07-01,205504
2015-07-02,203277
2015-07-03,177471
2015-07-04,22157
2015-07-05,376537
2015-07-06,263019
2015-07-07,223371
2015-07-08,199300
2015-07-09,195554
2015-07-10,144373
2015-07-11,11953
2015-07-12,258447
2015-07-13,217481
2015-07-14,157025
2015-07-15,168996
2015-07-16,150570
2015-07-17,132846
2015-07-18,30095
2015-07-19,193556
2015-07-20,166779
2015-07-21,164562
2015-07-22,160160
2015-07-23,140712
2015-07-24,129861
2015-07-25,28333
2015-07-26,220060
2015-07-27,164874
2015-07-28,146880
2015-07-29,152469
2015-07-30,138267
2015-07-31,117501
2015-08-01,28398
2015-08-02,169975
2015-08-03,157506
2015-08-04,134665
2015-08-05,136606
2015-08-06,135435
2015-08-07,133045
2015-08-08,26407
2015-08-09,209668
2015-08-10,153045
