obs,x
1966-01-05,531.12
1966-01-12,533.34
1966-01-19,537.67
1966-01-26,537.57
1966-02-02,531.44
1966-02-09,539.89
1966-02-16,535.35
1966-02-23,525.94
1966-03-02,512.83
1966-03-09,511.13
1966-03-16,504.26
1966-03-23,511.98
1966-03-30,508.6
1966-04-06,524.88
1966-04-13,524.35
1966-04-20,527.42
1966-04-27,524.35
1966-05-04,511.98
1966-05-11,498.55
1966-05-18,485.55
1966-05-25,496.75
1966-06-01,491.78
1966-06-08,485.86
1966-06-15,496.75
1966-06-22,498.23
1966-06-29,486.18
1966-07-06,497.92
1966-07-13,494.22
1966-07-20,489.99
1966-07-27,481.53
1966-08-03,476.14
1966-08-10,476.66
1966-08-17,466.2
1966-08-24,453.51
1966-08-31,440.4
1966-09-07,435.74
1966-09-14,451.5
1966-09-21,443.36
1966-09-28,440.08
1966-10-05,425.49
1966-10-12,437.22
1966-10-19,444.52
1966-10-26,452.45
1966-11-02,460.38
1966-11-09,463.76
1966-11-16,470.11
1966-11-23,458.9
1966-11-30,460.91
1966-12-07,467.57
1966-12-14,473.7
1966-12-21,468.2
1966-12-28,464.19
1967-01-04,463.34
1967-01-11,480.58
1967-01-18,494
1967-01-25,495.38
1967-02-01,499.5
1967-02-08,507.12
1967-02-15,510.61
1967-02-22,505.85
1967-03-01,507.86
1967-03-08,512.09
1967-03-15,517.06
1967-03-22,522.77
1967-03-29,526.04
1967-04-05,521.18
1967-04-12,515.89
1967-04-19,533.13
1967-04-26,539.58
1967-05-03,545.6
1967-05-10,542.54
1967-05-17,540.85
1967-05-24,527.1
1967-05-31,519.91
1967-06-07,530.06
1967-06-14,539.89
1967-06-21,539.58
1967-06-28,534.93
1967-07-05,535.98
1967-07-12,543.38
1967-07-19,550.47
1967-07-26,552.16
1967-08-02,562.1
1967-08-09,562.42
1967-08-16,554.49
1967-08-23,549.62
1967-08-30,546.98
1967-09-06,555.23
1967-09-13,564.21
1967-09-20,564.53
1967-09-27,567.7
1967-10-04,566.86
1967-10-11,566.01
1967-10-18,559.67
1967-10-25,554.91
1967-11-01,544.23
1967-11-08,535.03
1967-11-15,537.25
1967-11-22,549.41
1967-11-29,555.12
1967-12-06,561.57
1967-12-13,561.36
1967-12-20,560.41
1967-12-27,565.8
1968-01-03,564.64
1968-01-10,570.45
1968-01-17,567.81
1968-01-24,553.11
1968-01-31,546.24
1968-02-07,544.76
1968-02-14,532.07
1968-02-21,538.31
1968-02-28,530.8
1968-03-06,523.93
1968-03-13,529.53
1968-03-20,522.55
1968-03-27,526.04
1968-04-03,548.14
1968-04-10,561.57
1968-04-17,569.92
1968-04-24,570.14
1968-05-01,578.07
1968-05-08,584.62
1968-05-15,581.13
1968-05-22,577.33
1968-05-29,582.3
1968-06-05,594.46
1968-06-12,603.76
1968-06-19,599.21
1968-06-26,595.09
1968-07-03,601.43
1968-07-10,610
1968-07-17,603.65
1968-07-24,581.24
1968-07-31,576.27
1968-08-07,575.95
1968-08-14,581.77
1968-08-21,585.47
1968-08-28,585.15
1968-09-04,592.13
1968-09-11,595.2
1968-09-18,602.28
1968-09-25,607.36
1968-10-02,613.7
1968-10-09,613.06
