obs,x
1992Q1,443
1992Q2,410
1992Q3,420
1992Q4,532
1993Q1,433
1993Q2,421
1993Q3,410
1993Q4,512
1994Q1,449
1994Q2,381
1994Q3,423
1994Q4,531
1995Q1,426
1995Q2,408
1995Q3,416
1995Q4,520
1996Q1,409
1996Q2,398
1996Q3,398
1996Q4,507
1997Q1,432
1997Q2,398
1997Q3,406
1997Q4,526
1998Q1,428
1998Q2,397
1998Q3,403
1998Q4,517
1999Q1,435
1999Q2,383
1999Q3,424
1999Q4,521
2000Q1,421
2000Q2,402
2000Q3,414
2000Q4,500
2001Q1,451
2001Q2,380
2001Q3,416
2001Q4,492
2002Q1,428
2002Q2,408
2002Q3,406
2002Q4,506
2003Q1,435
2003Q2,380
2003Q3,421
2003Q4,490
2004Q1,435
2004Q2,390
2004Q3,412
2004Q4,454
2005Q1,416
2005Q2,403
2005Q3,408
2005Q4,482
2006Q1,438
2006Q2,386
2006Q3,405
2006Q4,491
2007Q1,427
2007Q2,383
2007Q3,394
2007Q4,473
